,starting_lat,starting_long,amount
1415,40.11,-77.52000000000001,1.0
56510,40.495000000000005,-74.24000000000001,0.01800327332242226
57214,40.5,-74.25500000000001,0.0032733224222585926
57215,40.5,-74.25,0.019639934533551555
57216,40.5,-74.245,0.03273322422258593
57217,40.5,-74.24000000000001,0.011456628477905073
57921,40.505,-74.25500000000001,0.008183306055646482
57922,40.505,-74.25,0.011456628477905073
57923,40.505,-74.245,0.004909983633387889
57924,40.505,-74.24000000000001,0.004909983633387889
57925,40.505,-74.235,0.004909983633387889
57926,40.505,-74.23,0.0032733224222585926
57927,40.505,-74.22500000000001,0.0016366612111292963
58628,40.51,-74.25500000000001,0.022913256955810146
58629,40.51,-74.25,0.03600654664484452
58630,40.51,-74.245,0.014729950900163666
58631,40.51,-74.24000000000001,0.027823240589198037
58632,40.51,-74.235,0.0032733224222585926
58636,40.51,-74.215,0.0032733224222585926
58638,40.51,-74.20500000000001,0.0032733224222585926
58639,40.51,-74.2,0.009819967266775777
59336,40.515,-74.25,0.0016366612111292963
59337,40.515,-74.245,0.004909983633387889
59338,40.515,-74.24000000000001,0.01309328968903437
59339,40.515,-74.235,0.01309328968903437
59342,40.515,-74.22,0.009819967266775777
59343,40.515,-74.215,0.0032733224222585926
59344,40.515,-74.21000000000001,0.008183306055646482
59345,40.515,-74.20500000000001,0.0016366612111292963
59346,40.515,-74.2,0.02127659574468085
59347,40.515,-74.19500000000001,0.0032733224222585926
60045,40.52,-74.24000000000001,0.0016366612111292963
60046,40.52,-74.235,0.0016366612111292963
60047,40.52,-74.23,0.0032733224222585926
60048,40.52,-74.22500000000001,0.009819967266775777
60049,40.52,-74.22,0.01800327332242226
60050,40.52,-74.215,0.024549918166939442
60051,40.52,-74.21000000000001,0.006546644844517185
60052,40.52,-74.20500000000001,0.008183306055646482
60053,40.52,-74.2,0.011456628477905073
60055,40.52,-74.19000000000001,0.0016366612111292963
60056,40.52,-74.185,0.006546644844517185
60057,40.52,-74.18,0.0016366612111292963
60058,40.52,-74.17500000000001,0.004909983633387889
60751,40.525,-74.245,0.0016366612111292963
60752,40.525,-74.24000000000001,0.004909983633387889
60756,40.525,-74.22,0.01309328968903437
60757,40.525,-74.215,0.0032733224222585926
60758,40.525,-74.21000000000001,0.01800327332242226
60759,40.525,-74.20500000000001,0.016366612111292964
60760,40.525,-74.2,0.006546644844517185
60761,40.525,-74.19500000000001,0.01800327332242226
60762,40.525,-74.19000000000001,0.0032733224222585926
60763,40.525,-74.185,0.004909983633387889
60764,40.525,-74.18,0.0032733224222585926
60765,40.525,-74.17500000000001,0.0032733224222585926
60766,40.525,-74.17,0.014729950900163666
60767,40.525,-74.165,0.011456628477905073
60768,40.525,-74.16000000000001,0.0016366612111292963
61459,40.53,-74.24000000000001,0.0032733224222585926
61461,40.53,-74.23,0.0016366612111292963
61463,40.53,-74.22,0.004909983633387889
61465,40.53,-74.21000000000001,0.022913256955810146
61466,40.53,-74.20500000000001,0.022913256955810146
61467,40.53,-74.2,0.004909983633387889
61468,40.53,-74.19500000000001,0.02127659574468085
61469,40.53,-74.19000000000001,0.01309328968903437
61472,40.53,-74.17500000000001,0.004909983633387889
61474,40.53,-74.165,0.0016366612111292963
61475,40.53,-74.16000000000001,0.019639934533551555
61476,40.53,-74.155,0.009819967266775777
62166,40.535000000000004,-74.24000000000001,0.01309328968903437
62169,40.535000000000004,-74.22500000000001,0.01309328968903437
62170,40.535000000000004,-74.22,0.008183306055646482
62171,40.535000000000004,-74.215,0.019639934533551555
62172,40.535000000000004,-74.21000000000001,0.022913256955810146
62173,40.535000000000004,-74.20500000000001,0.022913256955810146
62174,40.535000000000004,-74.2,0.0016366612111292963
62175,40.535000000000004,-74.19500000000001,0.01309328968903437
62176,40.535000000000004,-74.19000000000001,0.01309328968903437
62177,40.535000000000004,-74.185,0.027823240589198037
62178,40.535000000000004,-74.18,0.0032733224222585926
62179,40.535000000000004,-74.17500000000001,0.004909983633387889
62180,40.535000000000004,-74.17,0.0016366612111292963
62181,40.535000000000004,-74.165,0.008183306055646482
62182,40.535000000000004,-74.16000000000001,0.004909983633387889
62183,40.535000000000004,-74.155,0.016366612111292964
62184,40.535000000000004,-74.15,0.03600654664484452
62185,40.535000000000004,-74.14500000000001,0.019639934533551555
62874,40.54,-74.235,0.0016366612111292963
62876,40.54,-74.22500000000001,0.0032733224222585926
62877,40.54,-74.22,0.014729950900163666
62878,40.54,-74.215,0.004909983633387889
62879,40.54,-74.21000000000001,0.019639934533551555
62880,40.54,-74.20500000000001,0.0016366612111292963
62881,40.54,-74.2,0.0016366612111292963
62882,40.54,-74.19500000000001,0.016366612111292964
62883,40.54,-74.19000000000001,0.01309328968903437
62884,40.54,-74.185,0.03273322422258593
62885,40.54,-74.18,0.05073649754500818
62886,40.54,-74.17500000000001,0.01800327332242226
62887,40.54,-74.17,0.024549918166939442
62888,40.54,-74.165,0.009819967266775777
62889,40.54,-74.16000000000001,0.008183306055646482
62890,40.54,-74.155,0.011456628477905073
62891,40.54,-74.15,0.011456628477905073
62892,40.54,-74.14500000000001,0.011456628477905073
63583,40.545,-74.22500000000001,0.008183306055646482
63584,40.545,-74.22,0.03273322422258593
63585,40.545,-74.215,0.02127659574468085
63586,40.545,-74.21000000000001,0.009819967266775777
63588,40.545,-74.2,0.05237315875613748
63589,40.545,-74.19500000000001,0.029459901800327332
63590,40.545,-74.19000000000001,0.011456628477905073
63591,40.545,-74.185,0.008183306055646482
63592,40.545,-74.18,0.02618657937806874
63593,40.545,-74.17500000000001,0.03273322422258593
63594,40.545,-74.17,0.031096563011456628
63595,40.545,-74.165,0.008183306055646482
63596,40.545,-74.16000000000001,0.016366612111292964
63597,40.545,-74.155,0.01800327332242226
63598,40.545,-74.15,0.016366612111292964
63599,40.545,-74.14500000000001,0.01309328968903437
63600,40.545,-74.14,0.004909983633387889
64291,40.550000000000004,-74.22,0.0032733224222585926
64292,40.550000000000004,-74.215,0.03764320785597381
64293,40.550000000000004,-74.21000000000001,0.0016366612111292963
64294,40.550000000000004,-74.20500000000001,0.024549918166939442
64295,40.550000000000004,-74.2,0.011456628477905073
64296,40.550000000000004,-74.19500000000001,0.0425531914893617
64297,40.550000000000004,-74.19000000000001,0.054009819967266774
64298,40.550000000000004,-74.185,0.03600654664484452
64299,40.550000000000004,-74.18,0.031096563011456628
64300,40.550000000000004,-74.17500000000001,0.031096563011456628
64301,40.550000000000004,-74.17,0.022913256955810146
64302,40.550000000000004,-74.165,0.022913256955810146
64303,40.550000000000004,-74.16000000000001,0.02127659574468085
64304,40.550000000000004,-74.155,0.03600654664484452
64305,40.550000000000004,-74.15,0.03273322422258593
64306,40.550000000000004,-74.14500000000001,0.014729950900163666
64307,40.550000000000004,-74.14,0.03436988543371522
64308,40.550000000000004,-74.135,0.009819967266775777
64311,40.550000000000004,-74.12,0.008183306055646482
64312,40.550000000000004,-74.11500000000001,0.027823240589198037
64999,40.555,-74.215,0.0032733224222585926
65001,40.555,-74.20500000000001,0.008183306055646482
65002,40.555,-74.2,0.01309328968903437
65005,40.555,-74.185,0.0425531914893617
65006,40.555,-74.18,0.062193126022913256
65007,40.555,-74.17500000000001,0.03927986906710311
65008,40.555,-74.17,0.07692307692307693
65009,40.555,-74.165,0.03436988543371522
65010,40.555,-74.16000000000001,0.02618657937806874
65011,40.555,-74.155,0.02127659574468085
65012,40.555,-74.15,0.009819967266775777
65013,40.555,-74.14500000000001,0.06873977086743044
65014,40.555,-74.14,0.04746317512274959
65015,40.555,-74.135,0.027823240589198037
65016,40.555,-74.13000000000001,0.022913256955810146
65017,40.555,-74.125,0.03600654664484452
65018,40.555,-74.12,0.0867430441898527
65019,40.555,-74.11500000000001,0.0425531914893617
65020,40.555,-74.11,0.0425531914893617
65711,40.56,-74.19000000000001,0.027823240589198037
65712,40.56,-74.185,0.04582651391162029
65713,40.56,-74.18,0.031096563011456628
65714,40.56,-74.17500000000001,0.03273322422258593
65715,40.56,-74.17,0.022913256955810146
65716,40.56,-74.165,0.019639934533551555
65717,40.56,-74.16000000000001,0.009819967266775777
65718,40.56,-74.155,0.027823240589198037
65719,40.56,-74.15,0.06873977086743044
65720,40.56,-74.14500000000001,0.006546644844517185
65721,40.56,-74.14,0.008183306055646482
65722,40.56,-74.135,0.01800327332242226
65723,40.56,-74.13000000000001,0.03273322422258593
65724,40.56,-74.125,0.008183306055646482
65725,40.56,-74.12,0.01800327332242226
65726,40.56,-74.11500000000001,0.02127659574468085
65727,40.56,-74.11,0.05237315875613748
65728,40.56,-74.105,0.10965630114566285
65729,40.56,-74.10000000000001,0.024549918166939442
66419,40.565000000000005,-74.185,0.029459901800327332
66425,40.565000000000005,-74.155,0.06710310965630115
