,Keyword,Frequency
0,rat,1024
1,like,474
2,one,256
3,pigeon,240
4,people,220
5,city,156
6,think,153
7,time,152
8,nyc,148
9,good,146
10,make,141
11,cat,138
12,new,136
13,really,124
14,well,123
15,much,120
16,look,118
17,see,118
18,even,118
19,pretty,114
